,ID Банкомата,Адрес строкой RU,coord,coord_x,0,1
113,ATM50875,Город Москва Проезд Багратионовский Дом 5 стр. 45,"<[OK] Yandex - Geocode [Russia, Moscow, Bagrationovsky Drive, 5с32]>","['55.741972', '37.509604']",55.741972,37.509604
114,ATM50910,Область Ростовская Город Азов Переулок Некрасова Дом 47,"<[OK] Yandex - Geocode [Russia, Rostov Region, Azov, pereulok Nekrasova, 47]>","['47.10242', '39.395994']",47.10242,39.395994
115,ATM50920,Город Москва Улица Смольная Дом 22,"<[OK] Yandex - Geocode [Russia, Moscow, Smolnaya Street, 22]>","['55.859691', '37.484415']",55.859691,37.484415
116,ATM50922,Край Забайкальский Город Чита Улица Амурская Дом 88,"<[OK] Yandex - Geocode [Russia, Trans-Baikal Territory, Chita, Amurskaya ulitsa, 88]>","['52.031004', '113.498228']",52.031004,113.498228
117,ATM50923,Область Ростовская Город Ростов-на-Дону Улица Города Волос Дом 70,"<[OK] Yandex - Geocode [Russia, Rostov-on-Don, Goroda Volos Street, 70Б]>","['47.231416', '39.726026']",47.231416,39.726026
118,ATM50962,Область Амурская Город Благовещенск Улица Октябрьская Дом 108,"<[OK] Yandex - Geocode [Russia, Amurskaya oblast, Blagoveschensk, Oktyabrskaya ulitsa, 108]>","['50.26773', '127.546873']",50.26773,127.546873
119,ATM50964,Край Красноярский Город Красноярск Улица Караульная Дом 45,"<[OK] Yandex - Geocode [Russia, Krasnoyarsk, Karaulnaya ulitsa, 45]>","['56.046977', '92.882539']",56.046977,92.882539
120,ATM51002,Край Красноярский Город Красноярск Улица им. Сергея Лазо Дом 12Д,"<[OK] Yandex - Geocode [Russia, Krasnoyarsk, ulitsa Sergeya Lazo, 12Д]>","['56.046197', '92.957145']",56.046197,92.957145
121,ATM51006,Край Красноярский Город Красноярск Улица 9 Мая Дом 55,"<[OK] Yandex - Geocode [Russia, Krasnoyarsk, ulitsa 9 Maya, 55]>","['56.059645', '92.917807']",56.059645,92.917807
122,ATM51045,Область Магаданская Город Магадан Проспект Карла Маркса Дом 63,"<[OK] Yandex - Geocode [Russia, Magadan, prospekt Karla Marksa, 63]>","['59.556876', '150.818782']",59.556876,150.818782
123,ATM51147,Город Санкт-Петербург Улица Прогонная Дом 1,"<[OK] Yandex - Geocode [Russia, Saint Petersburg, Frunzenskiy District, Progonnaya ulitsa, 1]>","['59.89371', '30.362742']",59.89371,30.362742
124,ATM51326,Край Красноярский Город Норильск Улица Космонавтов Дом 39,"<[OK] Yandex - Geocode [Russia, Krasnoyarsk Territory, Norilsk, ulitsa Kosmonavtov, 39]>","['69.495093', '88.374757']",69.495093,88.374757
125,ATM51330,Край Красноярский Город Норильск Улица Ветеранов Дом 19,"<[OK] Yandex - Geocode [Russia, Krasnoyarsk Territory, Norilsk, ulitsa Veteranov, 19]>","['69.343328', '88.230326']",69.343328,88.230326
126,ATM51332,Край Красноярский Город Норильск Улица Надеждинская Дом 10а,"<[OK] Yandex - Geocode [Russia, Krasnoyarsk Territory, Norilsk, Nadezhdinskaya ulitsa, 10]>","['69.352039', '87.758262']",69.352039,87.758262
